username,password,email,role,fullName,id,products__productName,products__price,products__category,products__image,products__size,products__id,carts__userId,carts__productId,carts__size,carts__quantity,carts__id,wishlist__userId,wishlist__productId,wishlist__id,transactions__userId,transactions__totalPrice,transactions__status,transactions__buyDate,transactions__endTrx,transactions__id,transactions_detail__transactionId,transactions_detail__productId,transactions_detail__price,transactions_detail__quantity,transactions_detail__total_price,transactions_detail__id
denver,denver,denver@gmail.com,user,Denver,1,Red Black Plaid Shirt Jacket,230000,Phone,https://files.sirclocdn.xyz/mensoriginalbranded/products/_200529103531_84_full.png,"S,M,L,XL",1,1,1,S,1,1,5,6,1,6,21650000,success,Tue May 05 2020 19:38:31 GMT+0700 (Indochina Time),Tue May 05 2020 19:44:29 GMT+0700 (Indochina Time),1,1,1,5000000,1,5000000,1
sergio,sergio,sergio@gmail.com,user,Sergio,2,Linen-Cotton Band Collar Basic ,279900,Tab,https://files.sirclocdn.xyz/mensoriginalbranded/products/_200531183926_94_full.png,"S,M,L",2,1,2,,2,2,1,1,3,6,86000000,success,Tue May 05 2020 19:39:02 GMT+0700 (Indochina Time),Tue May 05 2020 19:45:13 GMT+0700 (Indochina Time),2,1,8,3000000,2,6000000,2
nairobi,nairobi,nairobi@gmail.com,user,Nairobi,3,Cozy Marl Maroon Flannel Shirt,199900,Laptop,https://files.sirclocdn.xyz/mensoriginalbranded/products/_200529111927_14_full.png,"S,M,L,XL",3,2,3,M,1,3,2,1,4,1,36050000,success,Tue May 05 2020 19:41:45 GMT+0700 (Indochina Time),Tue May 05 2020 19:44:25 GMT+0700 (Indochina Time),3,1,7,5300000,2,10600000,3
admin,admin,professor@gmail.com,admin,Professor,4,Cozy Marl Black Flannel Shirt,23000000,Desktop,https://files.sirclocdn.xyz/mensoriginalbranded/products/_200529111733_19_full.png,"S,M,L,XL",4,2,1,M,1,4,2,3,7,1,16000000,success,Tue May 05 2020 19:42:18 GMT+0700 (Indochina Time),Tue May 05 2020 19:45:14 GMT+0700 (Indochina Time),4,2,3,20000000,2,40000000,4
moskow,moskow,moskow@gmail.com,user,Moskow,5,Linen-Cotton LS Shirt Blue Floral,249900,Phone,https://files.sirclocdn.xyz/mensoriginalbranded/products/_200530124653_46_full.png,"S,M,L,XL",5,1,3,M,1,5,,,,8,16600000,pending,Tue May 05 2020 19:46:19 GMT+0700 (Indochina Time),-,5,2,4,23000000,2,46000000,5
berlin,berlin,berlin@gmail.com,user,Berlin,6,Slim Fit Hennepin Chino Cream,159000,Tab,https://files.sirclocdn.xyz/mensoriginalbranded/products/_200518145132_7_full.png,"S,M,L,XL",6,1,6,M,3,7,,,,2,21100000,pending,Tue May 05 2020 19:47:28 GMT+0700 (Indochina Time),-,6,3,2,15000000,2,30000000,6
tokyo,tokyo,tokyo@gmail.com,user,Tokyo,7,Slim Ultimate Chino White,200000,Phone,https://files.sirclocdn.xyz/mensoriginalbranded/products/_200506171330_62_full.png,"S,M,L,XL",7,1,3,S,1,8,,,,,,,,,,3,6,6000000,1,6000000,7
arturo,arturo,arturo@gmail.com,user,Arturo,8,Slim Ultimate Chino Brown,300000,Phone,https://files.sirclocdn.xyz/mensoriginalbranded/products/_200506170745_87_full.png,"S,M,L,XL",8,,,,,,,,,,,,,,,4,1,5000000,2,10000000,8
,,,,,,,,,,,,,,,,,,,,,,,,,,4,8,3000000,2,6000000,9
,,,,,,,,,,,,,,,,,,,,,,,,,,5,7,5300000,2,10600000,10
,,,,,,,,,,,,,,,,,,,,,,,,,,5,8,3000000,2,6000000,11
,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,15000000,1,15000000,12
,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6000000,1,6000000,13
